date,filename,insurance_beg_tot_k,insurance_beg_tot_b,insurance_beg_pi_k,insurance_beg_pi_b,insurance_beg_mh_k,insurance_beg_mh_b,prepayment_tot_k,prepayment_tot_b,prepayment_pi_k,prepayment_pi_b,prepayment_mh_k,prepayment_mh_b,claims_tot_k,claims_tot_b,claims_pi_k,claims_pi_b,claims_mh_k,claims_mh_b,endorsements_tot_k,endorsements_tot_b,endorsements_pi_k,endorsements_pi_b,endorsements_mh_k,endorsements_mh_b,adjustment_tot_k,adjustment_tot_b,adjustment_pi_k,adjustment_pi_b,adjustment_mh_k,adjustment_mh_b,insurance_end_tot_k,insurance_end_tot_b,insurance_end_pi_k,insurance_end_pi_b,insurance_end_mh_k,insurance_end_mh_b
2014-08-01,fhaprodrep_aug2014.pdf,42266,1030,28636,479,13630,551,-447,-8,-344,-5,-103,-3,-37,-1,-21,-0,-16,-1,503,9,487,9,16,1,-5,4,,,-5,4,42280,1035,28758,483,13522,552
2014-11-01,fhaprodreport_nov2014.pdf,42454,1040,29006,490,13448,551,-381,-7,-332,-5,-49,-2,-43,-1,-19,-0,-24,-1,452,9,413,7,39,2,1,0,-5,-0,6,0,42483,1042,29063,492,13420,550
2014-12-01,fhaprodreport_dec2014.pdf,42483,1042,29063,492,13420,550,-327,-6,-285,-4,-42,-1,-49,-1,-38,-0,-11,-0,382,7,361,6,21,1,17,0,19,0,-2,-0,42506,1043,29120,493,13386,549
2015-01-01,fhaprodreport_jan2015.pdf,42506,1043,29120,493,13386,549,-276,-5,-224,-3,-52,-2,-87,-3,-37,-0,-50,-2,254,5,233,4,21,1,47,2,13,0,34,2,42444,1042,29105,494,13339,548
2015-02-01,fhaprodreport_feb2015.pdf,42444,1042,29105,494,13339,548,-316,-5,-285,-4,-31,-1,-39,-1,-22,-0,-17,-1,339,7,300,5,39,2,3,-0,10,0,-7,-0,42431,1043,29108,495,13323,548
2015-04-01,fhaprodreport_apr2015.pdf,42397,1042,29119,496,13278,547,-517,-10,-439,-7,-78,-3,-56,-1,-33,-1,-23,-1,491,10,453,8,38,2,-13,-0,-10,-0,-3,0,42302,1041,29090,497,13212,545
2015-05-01,fhaprodreport_may2015.pdf,42302,1041,29090,497,13212,545,-522,-10,-442,-7,-80,-3,-53,-2,-28,-0,-25,-1,497,10,467,8,30,2,9,1,-15,-0,24,1,42233,1041,29072,498,13161,544
2015-07-01,fhaprodreport_jul2015.pdf,42189,1042,29073,499,13116,543,-542,-10,-438,-7,-104,-4,-74,-2,-52,-1,-22,-1,439,10,395,7,44,2,28,1,6,0,22,1,42040,1041,28984,499,13056,542
2015-08-01,fhaprodreport_aug2015.pdf,42040,1041,28984,499,13056,542,-563,-10,-487,-7,-76,-3,-57,-2,-29,-0,-28,-1,426,9,398,8,28,1,41,2,16,1,25,1,41887,1040,28882,499,13005,541
2015-10-01,fhaprodreport_oct2015.pdf,41765,1040,28774,498,12991,542,-539,-10,-464,-8,-75,-3,-17,-1,-3,-0,-14,-1,340,7,319,6,21,1,12,1,-18,-0,30,1,41561,1037,28608,496,12953,541
2015-12-01,fhaprodreport_dec2015.pdf,41502,1038,28562,496,12940,542,-402,-8,-334,-5,-68,-2,-14,-0,-9,-0,-5,-0,279,7,242,5,37,2,-44,-1,-41,-1,-3,-0,41321,1035,28420,494,12901,541
2016-02-01,fhaprodreport_feb2016.pdf,41158,1034,28272,493,12886,541,-368,-7,-310,-5,-58,-2,-40,-1,-21,-1,-19,-0,291,7,255,5,36,2,-52,-1,-38,0,-14,-1,40989,1031,28158,492,12831,540
2016-03-01,fhaprodreport_mar2016.pdf,40989,1031,28158,492,12831,540,-463,-9,-393,-6,-70,-2,-37,-1,-28,0,-9,0,370,9,321,6,49,3,-5,0,-14,0,9,1,40854,1031,28044,491,12810,540
2016-05-01,fhaprodreport_may2016.pdf,40646,1029,27892,489,12754,539,-630,-13,-508,-8,-122,-4,-48,-1,-29,0,-19,-1,411,9,388,7,23,1,25,2,-4,0,29,2,40404,1025,27739,488,12665,537
2016-06-01,fhaprodreport_jun2016.pdf,40404,1025,27739,488,12665,537,-578,-11,-475,-7,-103,-3,-44,-1,-25,0,-19,-1,320,7,284,5,36,2,55,3,-6,0,61,3,40157,1024,27517,486,12640,538
2016-07-01,fhaprodreport_jul2016.pdf,40157,1024,27517,486,12640,538,-510,-10,-407,-7,-103,-4,-29,-1,-15,0,-14,-1,278,6,270,5,8,0,10,2,-43,0,53,3,39906,1020,27322,484,12584,537
2016-08-01,fhaprodreport_aug2016.pdf,39906,1020,27322,484,12584,537,-540,-10,-461,-7,-79,-3,-37,-1,-22,-0,-15,-1,177,4,156,3,21,1,55,4,-13,0,68,4,39561,1017,26982,479,12579,538
2016-09-01,fhaprodreport_sep2016.pdf,39561,1017,26982,479,12579,538,-433,-7,-427,-7,-6,0,-91,-3,-74,-3,-17,-1,270,5,253,5,17,1,179,6,193,5,-14,0,39486,1018,26927,480,12559,538
2016-10-01,fhaprodreport_oct2016.pdf,39486,1018,26927,480,12559,538,-470,-9,-428,-7,-42,-1,-31,-1,-10,0,-21,-1,314,6,300,5,14,1,45,3,-23,0,68,4,39344,1017,26766,477,12578,540
2016-12-01,fhaprodreport_dec2016.pdf,39119,1016,26525,474,12594,542,-412,-8,-346,-6,-66,-3,-19,-1,-6,0,-13,-1,204,5,181,4,23,1,38,2,-5,0,43,2,38930,1014,26349,472,12581,542
2017-01-01,fhaprodreport_jan2017.pdf,38930,1014,26349,472,12581,542,-323,-6,-281,-5,-42,-1,-45,-1,-22,0,-23,-1,174,5,138,3,36,2,36,2,-11,0,47,2,38772,1014,26173,470,12599,544
2017-02-01,fhaprodreport_feb2017.pdf,38772,1014,26173,470,12599,544,-375,-8,-318,-5,-57,-2,-35,-1,-22,0,-13,-1,186,4,157,3,29,1,-17,1,-33,0,16,1,38531,1010,25957,467,12574,543
2017-03-01,fhaprodreport_mar2017.pdf,38531,1010,25957,467,12574,543,-503,-10,-410,-7,-93,-3,-49,-1,-28,0,-21,-1,324,7,287,5,37,2,-22,0,-23,0,1,0,38281,1006,25783,464,12498,541
2017-04-01,fhaprodreport_apr2017.pdf,38281,1006,25783,464,12498,541,-635,-13,-522,-9,-113,-4,-30,-1,-9,0,-21,-1,280,6,261,5,19,1,19,2,-22,0,41,2,37915,1000,25491,460,12424,540
2017-05-01,fhaprodreport_may2017.pdf,37915,1000,25491,460,12424,540,-602,-11,-509,-8,-93,-3,-36,-1,-23,0,-13,-1,352,8,305,6,47,2,30,2,-13,0,43,2,37659,998,25251,457,12408,541
2017-07-01,FHAProdReport_Jul2017.pdf,37361,994,25013,454,12348,539,-496,-10,-399,-7,-97,-4,-35,-1,-28,0,-7,0,247,5,240,5,7,0,23,2,-15,0,38,2,37100,989,24811,451,12289,538
2017-08-01,FHAProdReport_Aug2017.pdf,37100,989,24811,451,12289,538,-565,-11,-491,-8,-74,-3,-38,-1,-24,0,-14,-1,363,9,305,6,58,3,20,2,-20,0,40,2,36880,988,24581,448,12299,539
2017-10-01,FHAProdReport_Oct2017.pdf,36710,986,24425,447,12285,539,-466,-9,-421,-7,-45,-2,-39,-1,-20,-0,-19,-1,314,7,283,6,31,2,-9,1,-30,-0,21,1,36510,984,24237,444,12273,539
2017-12-01,FHAProdReport_Dec2017.pdf,36342,982,24077,442,12265,540,-344,-7,-283,-5,-61,-2,-30,-1,-14,0,-16,-1,166,4,147,3,19,1,0,1,-24,0,24,1,36134,979,23903,440,12231,539
2018-01-01,FHAProdReport_Jan2018.pdf,36134,979,23903,440,12231,539,-323,-7,-253,-4,-70,-3,-40,-1,-31,-0,-9,-0,173,4,151,3,22,1,22,2,-12,-0,34,2,35966,977,23758,438,12208,538
2018-02-01,FHAProdReport_Feb2018.pdf,35966,977,23758,438,12208,538,-342,-7,-269,-5,-73,-3,-26,-1,-19,-0,-7,-0,163,4,144,3,19,1,-11,0,-15,-0,4,0,35750,972,23599,436,12151,537
2018-03-01,FHAProdReport_Mar2018.pdf,35750,972,23599,436,12151,537,-481,-11,-374,-7,-107,-4,-27,-1,-15,-0,-12,-0,271,6,241,5,30,1,6,1,-5,0,11,1,35519,967,23446,433,12073,534
2018-04-01,FHAProdReport_Apr2018.pdf,35519,967,23446,433,12073,534,-483,-11,-387,-7,-96,-4,-34,-1,-24,-0,-10,-0,306,6,288,5,18,1,-36,-0,-43,-1,7,0,35272,962,23280,431,11992,532
2018-05-01,FHAProdReport_May2018.pdf,35272,962,23280,431,11992,532,-532,-11,-449,-8,-83,-3,-16,-1,-6,-0,-10,-1,317,7,291,6,26,1,0,0,-12,-0,12,1,35041,958,23104,428,11937,530
2018-06-01,FHAProdReport_Jun2018.pdf,35041,958,23104,428,11937,530,-493,-10,-412,-7,-81,-3,-14,-0,-11,-0,-3,-0,230,5,218,4,12,1,46,2,23,1,23,1,34810,954,22922,425,11888,528
2018-07-01,FHAProdReport_Jul2018.pdf,34810,954,22922,425,11888,528,-493,-10,-407,-7,-86,-3,-27,-1,-16,-0,-11,-1,251,5,243,5,8,0,46,2,12,0,34,2,34587,950,22754,423,11833,527
2018-08-01,FHAProdReport_Aug2018.pdf,34587,950,22754,423,11833,527,-470,-10,-376,-7,-94,-3,-28,-1,-19,-0,-9,-0,183,4,161,3,22,1,6,1,-8,-0,14,1,34278,944,22512,419,11766,525
2018-10-01,FHAProdReport_Oct2018.pdf,34309,944,22600,421,11709,523,-463,-10,-405,-7,-58,-2,-30,-1,-20,-0,-10,-1,277,6,256,5,21,1,-170,-2,-192,-3,22,1,33923,937,22239,415,11684,522
2018-11-01,FHAProdReport_Nov2018.pdf,33923,937,22239,415,11684,522,-344,-7,-295,-5,-49,-2,-11,-0,-6,-0,-5,-0,186,4,172,3,14,1,-24,-0,-31,-0,7,0,33730,934,22079,413,11651,521
2019-01-01,FHAProdReport_Jan2019.pdf,33517,930,21901,410,11616,520,-252,-6,-203,-4,-49,-2,-30,-1,-22,-0,-8,-0,136,3,133,3,3,0,86,2,77,2,9,1,33457,928,21886,410,11571,518
2019-02-01,FHAProdReport_Feb2019.pdf,33457,928,21886,410,11571,518,-293,-6,-258,-5,-35,-2,-29,-1,-21,-0,-8,-0,160,3,160,3,0,0,-49,-1,-28,-0,-21,-1,33246,923,21739,408,11507,515
2019-03-01,FHAProdReport_Mar2019.pdf,33246,923,21739,408,11507,515,-393,-9,-305,-5,-88,-3,-26,-1,-22,-0,-4,-0,208,4,205,4,3,0,17,1,-6,-0,23,1,33052,919,21611,406,11441,513
2019-04-01,FHAProdReport_Apr2019.pdf,33052,919,21611,406,11441,513,-459,-10,-360,-6,-99,-4,-34,-1,-24,-0,-10,-0,321,7,299,6,22,1,-14,-0,-13,-0,-1,-0,32866,914,21513,404,11353,510
2019-06-01,FHAProdReport_Jun2019.pdf,32605,908,21341,401,11264,507,-468,-10,-373,-7,-95,-4,-15,-1,-7,-0,-8,-0,150,3,148,3,2,0,-12,-0,-12,-0,0,0,32260,900,21097,397,11163,503
2019-09-01,FHAProdReport_Sep2019.pdf,31906,892,20880,394,11026,498,-386,-8,-320,-6,-66,-3,-17,-1,-8,-0,-9,-0,166,3,164,3,2,0,22,1,21,1,1,0,31691,887,20737,392,10954,495
2019-10-01,FHAProdReport_Oct2019.pdf,31691,887,20737,392,10954,495,-410,-8,-344,-6,-66,-2,-28,-1,-16,-0,-12,-1,159,3,156,3,3,0,56,1,53,1,3,0,31468,882,20586,390,10882,492
2019-11-01,FHAProdReport_Nov2019.pdf,31468,882,20586,390,10882,492,-298,-6,-261,-4,-37,-1,-11,-0,-7,-0,-4,-0,129,3,127,2,2,0,37,1,33,1,4,0,31325,880,20478,389,10847,490
2019-12-01,FHAProdReport_Dec2019.pdf,31325,880,20478,389,10847,490,-337,-8,-267,-5,-70,-3,-11,-0,-7,-0,-4,-0,105,2,105,2,0,0,99,2,106,2,-7,-0,31181,876,20415,389,10766,487
2020-03-01,FHAProdReport_Mar2020FNL.pdf,30817,867,20185,385,10632,482,-135,-3,-99,-2,-36,-1,-3,-0,-0,-0,-3,-0,78,1,78,1,0,0,-18,-1,-7,-0,-11,-0,30739,865,20157,385,10582,480
2020-04-01,FHAProdReport_Apr2020.pdf,30739,865,20157,385,10582,480,-351,-7,-331,-6,-20,-1,-0,-0,-0,-0,-0,-0,53,1,53,1,0,0,-183,-3,-181,-3,-2,-0,30258,856,19698,377,10560,479
2020-05-01,FHAProdReport_May2020.pdf,30258,856,19698,377,10560,479,-400,-9,-331,-6,-69,-3,-0,-0,-0,-0,-0,-0,74,2,74,2,0,0,4,-0,18,0,-14,-1,29936,849,19459,373,10477,476
2020-06-01,FHAProdReport_Jun2020.pdf,29936,849,19459,373,10477,476,-378,-8,-334,-6,-44,-2,-0,-0,-0,-0,-0,-0,96,2,96,2,0,0,-177,-4,-124,-2,-53,-2,29477,839,19097,366,10380,473
2020-07-01,FHAProdReport_Jul2020.pdf,29477,839,19097,366,10380,473,-376,-8,-336,-6,-40,-2,-0,-0,-0,-0,-0,-0,63,1,63,1,0,0,5,-0,11,0,-6,-0,29169,832,18835,361,10334,471
2020-08-01,FHAProdReport_Aug2020.pdf,29169,832,18835,361,10334,471,-399,-8,-358,-7,-41,-2,-0,-0,-0,-0,-0,-0,69,1,69,1,0,0,45,1,52,1,-7,-0,28884,826,18598,357,10286,469
2020-11-01,FHAProdReport_Nov2020.pdf,28077,805,18032,347,10045,458,-344,-8,-298,-6,-46,-2,-3,-0,-0,-0,-3,-0,55,1,55,1,0,0,-11,-1,21,1,-32,-1,27774,797,17810,343,9964,455
2021-01-01,FHAProdReport_Jan2021.pdf,27555,792,17651,340,9904,452,-268,-6,-226,-4,-42,-2,-2,-0,-2,-0,-0,-0,52,1,52,1,0,0,-22,-1,-9,-0,-13,-1,27315,787,17466,337,9849,450
2021-02-01,FHAProdReport_Feb2021.pdf,27315,787,17466,337,9849,450,-309,-7,-260,-5,-49,-2,-0,-0,-0,-0,-0,-0,72,1,72,1,0,0,-28,-1,-17,-0,-11,-1,27050,781,17261,333,9789,447
2021-03-01,FHAProdReport_Mar2021.pdf,27050,781,17261,333,9789,447,-486,-11,-392,-8,-94,-4,-12,-0,-10,-0,-2,-0,105,2,105,2,0,0,-35,-1,-14,-0,-21,-1,26622,770,16950,327,9672,442
2021-04-01,FHAProdReport_Apr2021.pdf,26622,770,16950,327,9672,442,-706,-15,-617,-12,-89,-3,-6,-0,-6,-0,-0,-0,86,2,86,2,0,0,-28,-1,-20,-0,-8,-0,25968,755,16393,317,9575,439
2021-05-01,FHAProdReport_May2021.pdf,25968,755,16393,317,9575,439,-541,-12,-450,-9,-91,-3,-9,-0,-8,-0,-1,-0,76,2,76,2,0,0,186,3,202,4,-16,-1,25680,748,16213,314,9467,434
2021-06-01,FHAProdReport_Jun2021.pdf,25677,748,16227,314,9450,434,-586,-14,-456,-9,-130,-5,-2,-0,-1,-0,-1,-0,106,2,106,2,0,0,-4,-0,-3,0,-1,-0,25191,736,15873,308,9318,428
2021-09-01,FHAProdReport_Sep2021.pdf,24312,715,15208,296,9104,419,-424,-10,-341,-6,-83,-4,-5,-0,-5,-0,-0,-0,64,1,64,1,0,0,-1,0,5,0,-6,-0,23946,706,14931,291,9015,416
2021-11-01,FHAProdReport_Nov2021.pdf,23591,698,14650,285,8941,413,-422,-10,-350,-7,-72,-3,-2,-0,-1,-0,-1,-0,50,1,50,1,0,0,-59,-1,-50,-1,-9,-0,23158,687,14299,278,8859,409
2021-12-01,FHAProdReport_Dec2021.pdf,23158,687,14299,278,8859,409,-321,-8,-252,-5,-69,-3,-6,-0,-5,-0,-1,-0,45,1,45,1,0,0,5,-0,21,1,-16,-1,22881,680,14108,275,8773,405
2022-01-01,FHAProdReport_Jan2022.pdf,22881,680,14108,275,8773,405,-279,-7,-223,-4,-56,-2,-5,-0,-5,-0,-0,-0,48,1,48,1,0,0,-7,-0,1,0,-8,-0,22638,674,13929,272,8709,402
2022-03-01,FHAProdReport_Mar2022.pdf,22327,666,13706,267,8621,399,-477,-12,-335,-7,-142,-6,-5,-0,-4,-0,-1,-0,66,1,66,1,0,0,1,0,0,0,1,0,21912,655,13433,262,8479,393
2022-04-01,FHAProdReport_Apr2022.pdf,21937,655,13465,263,8472,393,-532,-13,-413,-8,-119,-5,-5,-0,-4,-0,-1,-0,69,1,69,1,0,0,-9,-0,-7,-0,-2,-0,21460,644,13110,256,8350,388
2022-06-01,FHAProdReport_Jun2022.pdf,20950,630,12747,249,8203,382,-501,-13,-365,-7,-136,-6,-2,-0,-2,-0,-0,-0,58,1,58,1,0,0,-5,-0,12,0,-17,-1,20500,618,12450,243,8050,375
2022-07-01,FHAProdReport_Jul2022.pdf,20500,618,12450,243,8050,375,-435,-10,-344,-7,-91,-4,-0,-0,-0,-0,-0,-0,49,1,49,1,0,0,29,0,37,1,-8,-0,20143,609,12192,238,7951,371
2022-09-01,FHAProdReport_Sept2022.pdf,19713,598,11912,233,7801,365,-439,-10,-367,-7,-72,-3,-5,-0,-4,-0,-1,-0,70,1,70,1,0,0,2,0,1,0,1,0,19341,589,11612,227,7729,362
2022-10-01,FHAProdReport_Oct2022.pdf,19341,589,11612,227,7729,362,-359,-8,-280,-5,-79,-3,-2,-0,-1,-0,-1,-0,67,1,67,1,0,0,-23,-1,-4,-0,-19,-1,19024,581,11394,223,7630,358
2022-11-01,FHAProdReport_Nov2022.pdf,18990,580,11390,223,7600,357,-303,-7,-235,-4,-68,-3,-7,-0,-3,-0,-4,-0,38,1,38,1,0,0,-4,-0,-2,-0,-2,-0,18714,573,11188,219,7526,354
2023-03-01,FHAProdReport_Mar2023.pdf,18195,558,10862,213,7333,345,-272,-7,-199,-4,-73,-3,-6,-0,-4,-0,-2,-0,52,1,52,1,0,0,-17,-1,1,0,-18,-1,17952,552,10712,210,7240,342
2023-05-01,FHAProdReport_May2023.pdf,17689,544,10574,208,7115,337,-272,-7,-201,-4,-71,-3,-0,-0,-0,-0,-0,-0,36,1,36,1,0,0,-9,-0,-1,0,-8,-0,17444,538,10408,205,7036,333
2023-06-01,FHAProdReport_Jun2023.pdf,17444,538,10408,205,7036,333,-248,-6,-169,-3,-79,-3,-0,-0,-0,-0,-0,-0,52,1,52,1,0,0,33,0,47,1,-14,-1,17281,533,10338,204,6943,330
2023-07-01,FHAProdReport_Jul2023.pdf,17281,533,10338,204,6943,330,-201,-5,-141,-3,-60,-2,-0,-0,-0,-0,-0,-0,40,1,40,1,0,0,-4,-0,6,0,-10,-0,17116,529,10243,202,6873,327
2023-09-01,FHAProdReport_Sept2023.pdf,16956,524,10171,201,6785,323,-225,-5,-172,-3,-53,-2,-1,-0,-1,-0,-0,-0,54,1,54,1,0,0,-15,-1,5,0,-20,-1,16769,519,10057,199,6712,320
2023-11-01,FHAProdReport_Nov2023.pdf,16621,514,9993,198,6628,316,-212,-6,-138,-3,-74,-3,-0,-0,-0,-0,-0,-0,51,1,51,1,0,0,-8,-0,-5,-0,-3,-0,16452,509,9901,196,6551,313
2023-12-01,FHAProdReport_Dec2023.pdf,16452,509,9901,196,6551,313,-169,-5,-106,-2,-63,-3,-3,-0,-2,-0,-1,-0,43,1,43,1,0,0,-27,-1,-8,-0,-19,-1,16296,505,9828,195,6468,310
2024-01-01,FHAProdReport_Jan2024.pdf,16296,505,9828,195,6468,310,-110,-3,-73,-1,-37,-2,-9,-0,-7,-0,-2,-0,40,1,40,1,0,0,-8,-0,-8,-0,0,0,16209,502,9780,194,6429,308
2024-02-01,FHAProdReport_Feb2024.pdf,16209,502,9780,194,6429,308,-126,-4,-76,-1,-50,-2,-4,-0,-2,-0,-2,-0,51,1,51,1,0,0,-10,-0,-5,-0,-5,-0,16120,499,9748,194,6372,306
2024-03-01,FHAProdReport_Mar2024.pdf,16120,499,9748,194,6372,306,-197,-5,-115,-2,-82,-3,-9,-0,-5,-0,-4,-0,76,1,76,1,0,0,-4,-0,1,0,-5,-0,15986,495,9705,193,6281,302
2024-04-01,FHAProdReport_Apr2024.pdf,15986,495,9705,193,6281,302,-229,-6,-136,-2,-93,-4,-6,-0,-3,-0,-3,-0,0,0,0,0,0,0,67,1,82,1,-15,-1,15818,489,9648,192,6170,297
2024-05-01,FHAProdReport_May2024.pdf,15818,489,9648,192,6170,297,-242,-7,-150,-3,-92,-4,-2,-0,-2,-0,-0,-0,0,0,0,0,0,0,45,1,52,1,-7,-0,15619,483,9548,190,6071,293
2024-06-01,FHAProdReport_Jun2024.pdf,15619,483,9548,190,6071,293,-213,-6,-148,-3,-65,-3,-3,-0,-2,-0,-1,-0,0,0,0,0,0,0,75,1,78,1,-3,-0,15478,479,9476,189,6002,290
2024-08-01,FHAProdReport_Aug2024.pdf,15296,474,9387,187,5909,286,-226,-6,-154,-3,-72,-3,-1,-0,-1,-0,-0,-0,0,0,0,0,0,0,60,1,61,1,-1,-0,15129,469,9293,186,5836,283
2024-10-01,FHAProdReport_Oct2024.pdf,15012,465,9235,185,5777,281,-172,-4,-120,-2,-52,-2,-5,-0,-3,-0,-2,-0,55,1,55,1,0,0,-1,-0,2,0,-3,-0,14889,462,9169,183,5720,278
2024-11-01,FHAProdReport_Nov2024.pdf,14889,462,9169,183,5720,278,-154,-4,-106,-2,-48,-2,-5,-0,-2,-0,-3,-0,49,1,49,1,0,0,-13,-1,-4,-0,-9,-0,14766,458,9106,182,5660,275
2025-02-01,fhaprodreport-feb2025.pdf,14556,451,8993,180,5563,271,-129,-4,-89,-2,-40,-2,-3,-0,-3,-0,-0,-0,24,1,24,1,0,0,-13,-1,0,0,-13,-1,14435,447,8925,179,5510,269
2025-03-01,FHAProd_Mar2025.pdf,14435,447,8925,179,5510,269,-166,-5,-107,-2,-59,-3,-10,-0,-4,-0,-6,-0,57,1,57,1,0,0,7,0,13,0,-6,-0,14323,444,8884,178,5439,266
2025-04-01,FHAProd_Apr2025.pdf,14323,444,8884,178,5439,266,-193,-5,-127,-2,-66,-3,-11,-0,-7,-0,-4,-0,70,1,70,1,0,0,-4,-0,-2,-0,-2,-0,14185,439,8818,177,5367,262
2025-05-01,FHAProd_May2025.pdf,14185,439,8818,177,5367,262,-203,-6,-130,-2,-73,-3,-9,-0,-3,-0,-6,-0,57,1,57,1,0,0,-10,-0,-9,-0,-1,-0,14020,434,8733,175,5287,259
2025-06-01,FHAProd-June2025.pdf,14020,434,8733,175,5287,259,-207,-5,-144,-3,-63,-3,-8,-0,-5,-0,-3,-0,45,1,45,1,0,0,-13,-0,-5,-0,-8,-0,13837,429,8624,173,5213,256
